Strain (mm/mm)	Stress (MPa)
0.0513115	420.9056266
0.0513115	420.9421688
0.0515115	420.8835634
0.0516115	421.0876482
0.0516115	421.3069015
0.0516115	421.2338171
0.0517115	421.1607326
0.0518115	421.2558803
0.0519115	421.1676274
0.0519115	421.2779435
0.0519115	421.51926
0.0520115	421.336549
0.0521115	421.4241124
0.0522115	421.5985497
0.0523115	421.5406338
0.0522115	421.8260767
0.0523115	421.7819503
0.0524115	421.9212244
0.0524115	422.117725
0.0524115	422.0956617
0.0525115	422.0301615
0.0526115	422.1397882
0.0527115	422.088767
0.0528115	422.271478
0.0528115	422.3742099
0.0528115	422.4031679
0.0528115	422.2935413
0.0529115	422.300436
0.0529115	422.3811047
0.0529115	422.2569991
0.0530115	422.271478
0.0531115	422.271478
0.0532115	422.6658582
0.0532115	422.8561535
0.0533115	422.783069
0.0533115	422.8706324
0.0533115	422.9002799
0.0534115	423.052654
0.0535115	422.6948161
0.0535115	423.0016328
0.0535115	422.8416745
0.0536115	422.8485692
0.0536115	423.0747173
0.0537115	423.1478017
0.0538115	423.2870758
0.0538115	423.0236961
0.0538115	423.338097
0.0539115	423.1629702
0.0539115	423.2429493
0.0540115	423.6890401
0.0541115	423.5421818
0.0541115	423.6890401
0.0542115	423.5352871
0.0543115	423.6159557
0.0543115	423.5277028
0.0544115	423.3967024
0.0544115	423.6449137
0.0545115	423.6738717
0.0545115	423.6373295
0.0546115	423.6593927
0.0547115	424.0027516
0.0547115	423.8717512
0.0548115	423.8793354
0.0549115	424.0834203
0.0549115	424.3688632
0.0550115	423.835209
0.0550115	424.0392938
0.0551115	424.1344415
0.0552115	424.3392157
0.0552115	424.2585471
0.0553115	424.4343634
0.0553115	424.572948
0.0554115	424.3833422
0.0554115	424.5508848
0.0555115	424.4495319
0.0555115	424.7777223
0.0556115	424.2957788
0.0556115	424.4054054
0.0557115	424.7411801
0.0558115	424.7115326
0.0558115	424.8804542
0.0559115	424.7046379
0.0560115	424.8142645
0.0560115	424.9742229
0.0561115	424.6384482
0.0561115	425.3479187
0.0562115	425.0624758
0.0563115	425.2962081
0.0563115	425.610609
0.0563115	425.3037923
0.0563115	425.0183493
0.0564115	425.1721024
0.0565115	425.1645182
0.0565115	425.0404126
0.0566115	425.0624758
0.0567115	425.2527711
0.0567115	425.384461
0.0568115	425.384461
0.0568115	425.5588983
0.0569115	425.6030248
0.0569115	425.7278199
0.0569115	425.639567
0.0570115	425.4933981
0.0571115	425.9105309
0.0572115	425.8595097
0.0571115	425.8884677
0.0571115	425.9684469
0.0572115	425.8664045
0.0573115	425.8443413
0.0573115	425.8960519
0.0574115	425.7126514
0.0575115	425.8443413
0.0575115	425.7126514
0.0576115	425.8298623
0.0577115	425.9974049
0.0577115	425.9974049
0.0578115	425.9387994
0.0578115	426.3414533
0.0579115	426.2607846
0.0580115	426.1877002
0.0581115	426.2828478
0.0582115	426.2318266
0.0582115	426.3490375
0.0583115	426.2318266
0.0583115	426.5820803
0.0583115	426.4503904
0.0584115	426.2242424
0.0585115	426.5896645
0.0585115	426.4648694
0.0586115	426.4648694
0.0587115	426.3924745
0.0587115	426.7137702
0.0587115	426.7944388
0.0589115	426.8233968
0.0589115	426.8751075
0.0590115	426.8385653
0.0590115	427.0205869
